,Word,Definition
204,"ГУТСК, ГУТСК и ГК",Главное управление государственных трудовых сберегательных касс и государственного кредита
205,Госагропром СССР,союзно-республиканский государственный агропромышленный комитет СССР
206,Гострудсберкасс СССР,Правление государственных трудовых сберегательных касс СССР
207,ДГЭ,Днепргидроэнерго
208,ДГЭ,департамент главного энергетика
209,"ДГЭ, ДЭ",догоспитальный этап
210,ДДБМ,«Дальше действовать будем мы»
211,ДХЭ,демонстрационный химический эксперимент
212,"ДХЭ, ДЭХ",дихлорэтан
213,ДЭ,дыхательный эквивалент
214,ДЭ,«Деловой экспресс»
215,ДЭ,дизель-электровоз
216,ДЭ,Днепроэнерго
217,ДЭ,дермальный эквивалент
218,ДЭ,«Детская энциклопедия»
219,ДЭ,Донбассэнерго
220,ДЭ,деформируемость эритроцитов
221,"ДЭ, ДЭП",дисциркуляторная энцефалопатия
222,"ДЭ, ЦЭУ",департамент экономики
223,ДЭ-,дистиллятор электрический
224,ДЭП,дорожно-эксплуатационный полк
225,ДЭП,Дом экологического просвещения
226,ДЭП,дорожно-эксплуатационное предприятие
227,ДЭП,дивизионный этапный пункт
228,ДЭП,деформационная электронная плотность
229,ДЭП,Департамент экономики и прогнозирования
230,ДЭП,дополнительный электропреобразователь
231,ДЭП,дипольное электропрофилирование
232,ДЭП,длительное эпидуральное применение
233,ДЭП,дополнительное электрическое поле
234,ДЭП,департамент экспортной политики и координации внешнеэкономической деятельности
235,ДЭХ,«Дорожно-эксплутационное хозяйство»
236,ДЭХ,Договор к Энергетической хартии
237,ЕЭХ,Европейская энергетическая хартия
238,ИМОО,индекс местного онлайн-обслуживания
239,ИМТУ,Императорское Московское техническое училище
240,КАС,космический адаптационный синдром
241,КАС,Кодекс административного судопроизводства
242,КАС,Кузбасский алкогольный союз
243,КАС,"коллективная автостоянка
коллективная автомобильная стоянка"
244,КАС,Киришиавтосервис
245,КАС,Конфедерация анархо-синдикалистов
246,КАС,комплексная аппаратная связи
247,КАС,код аутентификации сообщения
248,КАС,контрольно-аварийная система
249,КАС,контейнер авиационный спасательный
250,КАС,кооперативная автостоянка
251,КАС,артиллерийский склад корпуса
252,КАС,карбамидно-аммиачная смесь
253,КАС,корпусной артиллерийский склад
254,КАС,крылатый аппарат-спасатель
255,КАС,катапультно-амортизационная система
256,КАС,кишечный аденоматоз свиней
257,КАС,кассетный артиллерийский снаряд
258,КАС,комплексная автоматизированная система
259,"КАС РФ, КАС, КАСП",Кодекс административного судопроизводства Российской Федерации
260,КАСП,Комиссия по комплексному изучению Каспийского моря
261,КАСП,Китайская ассоциация сталелитейной промышленности
262,КВРИРМ,карта выявления рисков для инструктажа на рабочем месте
263,КГБ,комитет гражданской безопасности
264,КГБ,клуб главных бухгалтеров
265,КГБ,"красный, голубой, белый"
266,КГБ,комплекс гражданской безопасности
267,КГБ,Киевская городская библиотека
268,КГБ,"«комитет глубинного бурения»;
«коммунистическое государство будущего»;
«комитет горного бурения»"
269,КГБ,комиссия галактической безопасности
270,КГБ,клуб гитаристов и барабанщиков
271,КГБ,"кластерная головная боль
кластерная (пучковая) головная боль"
272,КГБ,Контора глубокого бурения
273,КГБ,Клуб городских бродяг
274,КГБ,Когалымская городская больница
275,КГБ,красногорская городская больница
276,"КГБ, КГБ РСФСР",Комитет государственной безопасности РСФСР
277,"КГБ, КГБ СССР",Комитет государственной безопасности при Совете Министров СССР
278,"КГБ, КГБ-",крупногабаритная батарея
279,КГУ,Казахский государственный университет
280,КГУ,когенераторная установка
281,КГУ,Курский государственный университет
282,КГУ,краевое государственное учреждение
283,КГУ,Комитет государственных услуг города Москвы
284,КГУ,коммунальное государственное учреждение
285,КГУ,криогенная гелиевая установка
286,КГУ,Кызылординский государственный университет имени Коркыт Ата
287,КГУ,Костанайский государственный университет имени А. Байтурсынова
288,КГУ,Калининский государственный университет
289,КГУ,Киргизский государственный университет имени 50-летия СССР
290,КГУ,комплекс городского управления
291,КГУ,контрольно-габаритное устройство
292,КГУ,Кулябский государственный университет
293,КГУ,Куйбышевский государственный университет
294,КГУ,Крестьянский государственный университет им. Кирилла и Мефодия
295,КГУ,крекинг-газ углеводородных газов
296,"КГУ, КГУ им. Бердаха",Каракалпакский государственный университет имени Бердаха
297,"КГУ, КГУ им. Н. А. Некрасова",Костромской государственный университет имени Н. А. Некрасова
298,"КГУ, КГУ имени Т. Г. Шевченко",Киевский государственный университет имени Т. Г. Шевченко
299,"КГУ, КТГУ",Курган-Тюбинский государственный университет имени Н. Хусрава
300,"КГУ, КемГУ",Кемеровский государственный университет
301,"КГУ, КрасГУ",Красноярский государственный университет
302,"КГУ, КубГУ",Кубанский государственный университет
303,"КГУ, КургГУ, КурГу",Курганский государственный университет
304,"КННК, СНПС","Китайская национальная нефтяная компания
Китайская национальная нефтегазовая корпорация
Китайская национальная нефтяная корпорация"
305,"КПФУ, К(П)ФУ, КФУ","Казанский (Приволжский) федеральный университет;
Казанский федеральный университет"
306,КТГУ,Камчатское территориальное геологическое управление
307,КТГУ,ключ трубный горизонтальный усиленный
308,КФГУ,Карело-Финский государственный университет
309,"КФОР, СБК",многонациональные миротворческие силы в Косово
310,КФУ,контроллер функционального узла
311,КФУ,"ключевой фактор успеха
критический фактор успеха"
312,КФУ,коэффициент финансовой устойчивости
313,КФУ,кредитно-финансовое учреждение
314,"КФУ им. В.И. Вернадского, КФУ",Крымский федеральный университет имени В. И. Вернадского
315,КазГУ,Казахский национальный университет имени аль-Фараби
316,"КазГУ, КГУ","Казанский государственный университет;
Казанский государственный университет имени В.И. Ульянова-Ленина"
317,КазНУ,Казахский национальный университет имени аль-Фараби
318,"КалГУ, КГУ",Калининградский государственный университет
319,"КалмГУ, КГУ",Калмыцкий государственный университет
320,Кас.,Касерес
321,ЛГМИ,Ленинградская государственная молочная инспекция
322,ЛГМИ,Ленинградский гидрометеорологический институт
323,М,модуль
324,М,модуль крупности
325,М,марка самолетов ОКБ имени В. М. Мясищева
326,М,молочное стекло
327,М,мужской туалет
328,М,мотор
329,М,монархический
330,М,"молярность раствора, молярный"
331,М,"начальник службы грузовой и коммерческой работы
служба грузовой и коммерческой работы"
332,М,медь
333,М,мартеновская
334,М,манометр
335,М,день мобилизации
336,М,«Малютка»
337,М,мега...
338,М,мягкий
339,М,мелкий
340,М,многоступенчатый насос
341,М,миноносец
342,М,«Минтяжстроевец»
343,М,"мужской
для мужчин"
344,М,мягкие вагоны
345,"М, -М",модернизированный
346,"М, МП",мультиплексор
347,"М, Мо",молибден
348,"М, м-б",масштаб
349,"М, м.",метро
350,"М, м. в., мол. в.",молекулярный вес
351,"М, м., ...мор...",морской
352,"М, металл.",металлический
353,"М, мод.",модулятор
354,М-,модем
355,М.,Москва
356,М.,Мексика
357,М. П.,место печати
358,М. з.,межевой знак
359,"М., мал., Мал.",Малый
360,М.-Л.,Москва - Ленинград
361,М.-П.,Москва - Петроград
362,М.П.,место для печати
363,"МАБР, МБР",Межамериканский банк развития
364,МАВТ,Международная ассоциация воздушного транспорта
365,МАГ,многокомпонентный анализатор газов
366,МАГ,Международная ассоциация гидрогеологов
367,МАГ,«мой Адольф Гитлер»
368,МАГ,Международная ассоциация геодезии
369,МАГ,Международная академия гастрономии
370,МАГ,мощный аэрозольный генератор
371,МАГ,«Машиностроение и гидравлика»
372,МАГ,Международный аэропорт Геленджик
373,МАГ,магистральная артерия головы
374,МАГ,Международная ассамблея столиц и крупных городов стран СНГ
375,МАЛ,Международная академия лидерства
376,МАТ,Магаданский аграрный техникум
377,МАТ,Международная академия транспорта
378,МАТ,Московский автотранспортный узел
379,МАТ,«Медиа-альянс Таджикистана»
380,МАТ,Международная академия творчества
381,"МАвТ, МАТ",Московский авиатранспортный узел
382,МБ,Марфин банк
383,МБ,местная батарея
384,МБ,модель безопасности
385,МБ,мембрана Бруха
386,МБ,межрегиональная биржа
387,МБ,мегабайт
388,МБ,место биты
389,МБ,манёвренная база
390,МБ,Мастер-Банк
391,МБ,моноблок
392,МБ,международный бизнес
393,МБ,магнитный барабан
394,МБ,магнитная буря
395,МБ,морской буксир
396,МБ,микроболометрический
397,МБ,«Мобильный модем»
398,МБ,малый бизнес
399,МБ,«Морская биржа»
400,МБ,монолитный бетон
401,МБ,"максимальный балл;
максимальное количество баллов"
402,МБ,микроэлектронный блок
403,МБ,механизированный батальон
404,МБ,местный бюджет
405,МБ,масляный баллон
406,МБ,«Медицинский бизнес»
407,МБ,маслобак
408,МБ,местная блокада
409,МБ,Мировой банк
410,МБ,миеломная болезнь
411,МБ,Московская биржа
412,МБ,металлизированная бумага
413,"МБ, МБР, МБ РФ",Министерство безопасности Российской Федерации
414,"МБ, Мбайт, мег",мегабайт
415,"МБ, метеобюро",метеорологическое бюро
416,"МБ, мин. бат., минбатр",миномётная батарея
417,МБ-,модификатор бетона
418,"МБВД, МБВД РСФСР",Министерство безопасности и внутренних дел РСФСР
419,МБР,многосторонний банк развития
420,МБР,модификатор биологических реакций
421,МБР,межбанковские расчёты
422,МБР,морской ближний разведчик
423,МБР,многорежимный буферный регистр
424,МБР,малобюджетная реклама
425,МБР,"моторизованная бригада;
механизированная бригада"
426,МБР,Молодёжный бизнес России
427,МБР,морские биологические ресурсы
428,МБР,Мерседес-Бенц рус
429,МБР,морская баллистическая ракета
430,МБР,«минет без резины»
431,"МБР, МКБР",межконтинентальная баллистическая ракета
432,"МБР, МНБР",Международный банк развития
433,МБСП,Международный банк Санкт-Петербурга
434,МБСП,мобильная бетонно-смесительная подстанция
435,"МБр, мехбр, мехбригада",механизированная бригада
436,МВ,«Машина времени»
437,МВ,«Машина времени»
438,МВ,машинное время
439,МВ,метка времени
440,МВ,мягкая валюта
441,МВ,мегавольт
442,МВ,"метровые волны
диапазон метровых волн
метроволновый"
443,МВ,микроволновый
444,МВ,«Московские ведомости»
445,МВ,масштаб высот
446,МВ,Местные вести
447,МВ,муковисцидоз
448,МВ,медленная вспышка
449,МВ,молотилка-веялка
450,МВ,манометр воздушный
451,МВ,меченая власть
452,МВ,Министерство вооружения
453,МВ,«Местное время»
454,МВ,«Мурманский вестник»
455,МВ,«Молдавские ведомости»
456,МВ,«Мурманский вестник»
457,МВ,меры веса
458,МВ,минный взрыватель
459,МВ,мановакуумметр
460,МВ,миномётное вооружение
461,МВ,масляный выключатель
462,МВ,механический выпрямитель
463,МВ,малая вместимость
464,МВ,«Медицинский вестник»
465,"МВ, МКВ",малокалиберная винтовка
466,"МВ, МОВ",Меморандум о взаимопонимании
467,"МВ, мв","миномётный взвод
минометные войска"
468,"МВ, медвытрезвитель",медицинский вытрезвитель
469,"МВ, минвата",минеральная вата
470,МВ-,машина вакуумная
471,МВ-,машина вспенивания
472,МВ-,машина взбивальная
473,"МВД России, МВД РФ",Министерство внутренних дел Российской Федерации
474,"МВД СССР, Минвнудел СССР",Министерство внутренних дел СССР
475,МВИМУ,Мурманское высшее инженерно-морское училище
476,МВМ,маловязкое масло
477,МВМ,малая вычислительная машина
478,МВМ,Метровагонмаш
479,МВМ,монитор виртуальных машин
480,МВМ,матовязальная машина
481,МВМУ,Мурманское высшее мореходное училище
482,МВМУ,Московское военно-музыкальное училище
483,МВТУ,"«мало выпьешь - трудно учиться»;
«мама, вышли трешку, умираю»;
«могила, вырытая трудами учёных»;
«мы вас тут угробим»;
«мать вашу, тубус украли!»;
«мощным войдешь, тощим уйдешь»"
484,МВТУ,Московское высшее техническое училище
485,"МВТУ им. Н. Э. Баумана, МВТУ","Московское ордена Ленина, ордена Октябрьской Революции и ордена Трудового Красного Знамени высшее техническое училище имени Н. Э. Баумана"
486,МВЭЛК,Московский высший экономико-лингвистический колледж
487,МГАРФ,Мурманская государственная академия рыбопромыслового флота
488,МГБ,мультиформная глиобластома
489,МГБ,«Магазин готового бизнеса»
490,МГБ,Министерство государственной безопасности
491,МГБ,муниципальная городская больница
492,МГБ,Международное гидрографическое бюро
493,МГБ,межгосударственный банк
494,"МГБ, МГБ СССР",Министерство государственной безопасности СССР
495,"МГБ, Мосгорбанк",Московский городской банк
496,МГЗИПП,Московский государственный заочный институт пищевой промышленности
497,МГМА,Магнитогорская горно-металлургическая академия
498,МГМИ,Мурманская государственная морская инспекция
499,МГМИ,2-й Московский государственный медицинский институт имени Н. И. Пирогова
500,МГМИ,Московский гидрометеорологический институт
501,МГМИ,Московский городской музыкальный институт
502,МГМИ,Московский гидромелиоративный институт
503,МГМИ,Магнитогорский горно-металлургический институт имени Г. И. Носова
504,МГР,местное гибкое регулирование
505,МГР,"Московская гильдия риэлторов
Московская гильдия риэлтеров"
506,МГР,мать городов русских
507,МГР,Международный год ребенка
508,МГР-,манипулятор газовой резки
509,МГТА,Московская гуманитарно-техническая академия
510,МГТА,малогабаритный торпедный аппарат
511,МГТА,Московская государственная технологическая академия
512,"МГТА, МГТА им. А. Н. Косыгина",Московская государственная текстильная академия имени А. Н. Косыгина
513,МГТУ,Многопрофильный гуманитарно-технический университет
514,МГТУ,Мурманский государственный технический университет
515,МГТУ,Майкопский государственный технологический университет
516,МГТУ,"мы готовы тут умереть;
мудрые — глупеют, тупые — умирают"
517,МГТУ,московское главное территориальное управление
518,МГТУ,"московский государственный технический университет
московский государственный технологический университет"
519,"МГТУ, МГТУ им. А. Н. Косыгина",Московский государственный текстильный университет имени А. Н. Косыгина
520,"МГТУ, МГТУ им. Г. И. Носова",Магнитогорский государственный технический университет имени Г. И. Носова
521,"МГТУ, МГТУ им. Н. Э. Баумана",Московский государственный технический университет имени Н. Э. Баумана
522,"МГТУ, МогГТУ",Могилёвский государственный технический университет
523,МГУС,Московский государственный университет сервиса
524,"МГУТиУ, МГУТУ",Московский государственный университет технологий и управления
525,МДК,малый десантный корабль
526,МДК,Московский дом книги
527,МДК,металлические и деревянные конструкции
528,МДК,максимально допустимая концентрация
529,МДК,Международная деловая корпорация
530,МДК,Международный Дельфийский комитет
531,МДК,междисциплинарный курс
532,МДК,морской добычной комплекс
533,МДК,«Методические документы в жилищно-коммунальном хозяйстве»
534,МДК,муниципальная дисконтная карта
535,МДК,Международная дунайская комиссия
536,МДК,Московская диалектологическая комиссия
537,МДК,молодёжный депутатский клуб
538,МДК,«Мой друг компьютер»
539,МДК,межпоселенческий дом культуры
540,МДК,Московская девелоперская компания
541,МДК,междисциплинарная кафедра
542,МДК,международный дискуссионный клуб
543,МДК,молодёжный дискуссионный клуб
544,МДК,Московский дискуссионный клуб
545,МДК,«Межрегиональная девелоперская компания»
546,МДК,малогабаритный дорожный контроллер
547,"МДК, МДОК",мебельно-деревообрабатывающий комбинат
548,"МДК, МНДК",международное движение капитала
549,МЕГ,«Международная еврейская газета»
550,МЗ,музей-заповедник
551,МЗ,маржинальные затраты
552,МЗ,маслозавод
553,МЗ,маслозаправщик
554,МЗ,механизированный заправочный агрегат
555,МЗ,мебель на заказ
556,МЗ,минное заграждение
557,МЗ,Министерство земледелия
558,МЗ,метод микрозондов
559,МЗ,Мате Залка
560,МЗ,«Мотовилихинские заводы»
561,МЗ,морской завод
562,МЗ,модуль зажигания
563,МЗ,начальник отдела грузовой и коммерческой работы
564,МЗ,массив загрузки
565,МЗ,межмуниципального значения
566,МЗ,масло зимнее
567,МЗ,момент зажигания
568,МЗ,механизм заряжания
569,МЗ,микрозатуманивание
570,МЗ,макулярная зона
571,МЗ,места заключения
572,МЗ,муниципальный заказ
573,"МЗ и СР, МЗСР, Минздравсоцразвития, Минздравсоцразвития России",Министерство здравоохранения и социального развития Российской Федерации
574,"МЗ, МЗ СССР",Министерство земледелия СССР
575,"МЗ, минзаг",минный заградитель
576,"МЗ, минздрав",министерство здравоохранения
577,МЗ-,мелкозернистый
578,МЗС,масло зимнее смазочное
579,МЗС,моторно-зверобойная станция
580,МЗС,молниезащитная система
581,МЗС,малогабаритная защитная секция
582,МЗС,многозабойная скважина
583,"МЗС, МСЗ","Международный совет по зерну
Международный зерновой союз"
584,МИН,микроскоп большой поляризационный минералогический полевой
585,МИН,Минералогический институт
586,МК,моторный катер
587,МК,мастер-контроллер
588,МК,максимальная концентрация
589,МК,малокалиберный
590,МК,материнский капитал
591,МК,"магнитный контроль;
магнитный неразрушающий контроль"
592,МК,митральный клапан
593,МК,маточное кровотечение
594,МК,мозговой кровоток
595,МК,мастер-ключ
596,МК,маршрутный компьютер
597,МК,"магнитный каротаж;
каротаж магнитный"
598,МК,микрокаротаж
599,МК,морской корпус
600,МК,"модифицированный крахмал;
крахмал модифицированный"
601,МК,международный комитет
602,МК,Морская коллегия
603,МК,«Минский курьер»
604,МК,массовые коммуникации
605,МК,менеджмент компания
606,МК,малый катер
607,МК,медь конверторная
608,МК,мотор-компрессор
609,МК,медь коллекторная
610,МК,многоковшовый канавокопатель
611,МК,мостовой кран
612,МК,митотический коэффициент
613,МК,судья международной категории
614,МК,муниципальный контракт
615,МК,магнитная коррекция
616,МК,магнитный курс
617,МК,мотор-колесо
618,МК,маневровая канатная лебёдка
619,МК,Мастер Кредо
620,МК,мастеркард
621,МК,Медная компания
622,МК,модернизированный с коломенским дизелем
